ID	breed
DM001	DormaSheep
DM004	DormaSheep
DM005	DormaSheep
DM006	DormaSheep
DM008	DormaSheep
DM011	DormaSheep
DM012	DormaSheep
DM013	DormaSheep
DM016	DormaSheep
DM017	DormaSheep
DM018	DormaSheep
DM020	DormaSheep
DM025	DormaSheep
DM030	DormaSheep
DM031	DormaSheep
DM035	DormaSheep
DM036	DormaSheep
DM038	DormaSheep
DM039	DormaSheep
GB001	Gangbasheep
GB007	Gangbasheep
GB011	Gangbasheep
GB017	Gangbasheep
GB020	Gangbasheep
GB027	Gangbasheep
GB030	Gangbasheep
GB2006	Gangbasheep
GB2008	Gangbasheep
GB2009	Gangbasheep
GB2010	Gangbasheep
GB2013	Gangbasheep
GB2014	Gangbasheep
GB2015	Gangbasheep
GB2018	Gangbasheep
GB2022	Gangbasheep
GB2023	Gangbasheep
GB2028	Gangbasheep
GB2036	Gangbasheep
GG001	Gonggasheep
GG003	Gonggasheep
GG005	Gonggasheep
GG006	Gonggasheep
GG007	Gonggasheep
GG009	Gonggasheep
GG011	Gonggasheep
GG013	Gonggasheep
GG015	Gonggasheep
GG017	Gonggasheep
GG018	Gonggasheep
GG019	Gonggasheep
GG021	Gonggasheep
GG023	Gonggasheep
GG025	Gonggasheep
GG027	Gonggasheep
GG029	Gonggasheep
GG030	Gonggasheep
HB003	Huoerbasheep
HB006	Huoerbasheep
HB007	Huoerbasheep
HB008	Huoerbasheep
HB010	Huoerbasheep
HB011	Huoerbasheep
HB013	Huoerbasheep
HB014	Huoerbasheep
HB015	Huoerbasheep
HB018	Huoerbasheep
HB019	Huoerbasheep
HB020	Huoerbasheep
HB022	Huoerbasheep
HB023	Huoerbasheep
HB026	Huoerbasheep
HB027	Huoerbasheep
HB033	Huoerbasheep
HB042	Huoerbasheep
HB044	Huoerbasheep
HZ001	Heizangsheep
HZ008	Heizangsheep
HZ009	Heizangsheep
HZ014	Heizangsheep
HZ016	Heizangsheep
HZ023	Heizangsheep
HZ029	Heizangsheep
HZ030	Heizangsheep
HZ033	Heizangsheep
HZ037	Heizangsheep
HZ039	Heizangsheep
HZ041	Heizangsheep
HZ043	Heizangsheep
JC001	Jianchuansheep
JC003	Jianchuansheep
JC005	Jianchuansheep
JC006	Jianchuansheep
JC007	Jianchuansheep
JC009	Jianchuansheep
JC011	Jianchuansheep
JC013	Jianchuansheep
JC015	Jianchuansheep
JC017	Jianchuansheep
JC018	Jianchuansheep
JC019	Jianchuansheep
JC021	Jianchuansheep
JC023	Jianchuansheep
JC025	Jianchuansheep
JC027	Jianchuansheep
JC029	Jianchuansheep
JC030	Jianchuansheep
JZ001	Jiangzisheep
JZ003	Jiangzisheep
JZ005	Jiangzisheep
JZ006	Jiangzisheep
JZ007	Jiangzisheep
JZ009	Jiangzisheep
JZ011	Jiangzisheep
JZ013	Jiangzisheep
JZ015	Jiangzisheep
JZ017	Jiangzisheep
JZ018	Jiangzisheep
JZ019	Jiangzisheep
JZ021	Jiangzisheep
JZ023	Jiangzisheep
JZ025	Jiangzisheep
JZ027	Jiangzisheep
JZ029	Jiangzisheep
JZ030	Jiangzisheep
NL001	Ninglangsheep
NL003	Ninglangsheep
NL005	Ninglangsheep
NL006	Ninglangsheep
NL007	Ninglangsheep
NL009	Ninglangsheep
NL011	Ninglangsheep
NL013	Ninglangsheep
NL015	Ninglangsheep
NL017	Ninglangsheep
NL018	Ninglangsheep
NL019	Ninglangsheep
NL021	Ninglangsheep
NL023	Ninglangsheep
NL025	Ninglangsheep
NL027	Ninglangsheep
NL029	Ninglangsheep
NL030	Ninglangsheep
SG001	Shangusheep
SG003	Shangusheep
SG005	Shangusheep
SG006	Shangusheep
SG007	Shangusheep
SG009	Shangusheep
SG011	Shangusheep
SG013	Shangusheep
SG015	Shangusheep
SG017	Shangusheep
SG018	Shangusheep
SG019	Shangusheep
SG021	Shangusheep
SG023	Shangusheep
SG025	Shangusheep
SG027	Shangusheep
SG029	Shangusheep
SG030	Shangusheep
ZG003	Zuogongsheep
ZG005	Zuogongsheep
ZG006	Zuogongsheep
ZG007	Zuogongsheep
ZG009	Zuogongsheep
ZG011	Zuogongsheep
ZG013	Zuogongsheep
ZG015	Zuogongsheep
ZG032	Zuogongsheep
ZG033	Zuogongsheep
ZG034	Zuogongsheep
ZG036	Zuogongsheep
ZG038	Zuogongsheep
ZG040	Zuogongsheep
ZG042	Zuogongsheep
ZG044	Zuogongsheep
ZG045	Zuogongsheep
